Nome,Estrelas,Avaliações,Cozinha,Preço,Segurança,Reviews
 Elle 5,4.5,174,Italiana,2.5,1,"['“Take Away com direito a bate-papo com a...”', '“Experiência inesquecível em SP”']"
 Fogo De Chão,4.5,2739,"Steakhouse, Brasileira",4.0,0,"['“Fogo de chão!”', '“Atendimento impecável”']"
 Bar Quintal Da Mooca,4.5,311,"Brasileira, Bar",2.5,0,"['“Simpatia da equipe”', '“lugar maravilhoso, fui amei e levei meus...”']"
 Le Manjue Organique - Vila Nova Conceição,4.5,1339,"Saudável, Brasileira",2.5,0,"['“Melhor vegano/vegetariano de SP”', '“Verdadeira experiência gastronômica.”']"
 Vila das Rosas - Pinheiros,4.5,169,"Saudável, Brasileira",2.5,0,"['“Incrível”', '“Sempre somos muito bem recebidos”']"
 Supra di Mauro Maia,4.5,661,"Italiana, Europeia",2.5,0,"['“Restaurante espetacular!”', '“excelente!”']"
 Varanda JK Iguatemi,4.5,721,"Churrasco, Grelhados",4.0,1,"['“Elogio atendimento Pedro Vitor/Silverio”', '“Atendimento Impecável”']"
 Johnny Rockets,4.5,424,"Americana, Lanchonete",2.5,0,"['“Melhor Hambúrguer de SP”', '“Muito Bom”']"
 Manai Gastronomia,4.5,231,"Brasileira, Grelhados",2.5,0,"['“O melhor”', '“Buffet incrível”']"
 Terraço Jardins,4.5,280,Brasileira,4.0,0,"['“Café da manhã”', '“Fui para o brunch pelo livrinho 2x1”']"
 Varanda Grill,4.5,1412,"Steakhouse, Brasileira",4.0,1,"['“Excelente como sempre!”', '“Melhor carne de São Paulo com o melhor...”']"
 Pobre Juan Morumbi Shopping,4.5,380,"Steakhouse, Churrasco",4.0,0,"['“Qualidade da comida e serviço”', '“Pefeito”']"
 Canvas Bar & Restaurante,4.5,365,"Brasileira, Contemporânea",4.0,0,"['“Ambiente maravilhoso”', '“Um galeria de arte!!!”']"
 Casale di Pizza,4.5,210,"Italiana, Pizza",2.5,0,"['“MARAVILHOSO”', '“Melhor pizza da minha vida!”']"
 JAM - Jardins,4.5,1539,"Japonesa, Saudável",4.0,0,"['“Excelente”', '“Simplesmente Maravilhoso”']"
 Johnny Rockets,4.5,411,"Americana, Lanchonete",2.5,0,"['“Lugar perfeito”', '“FUJA ENQUANTO HÁ TEMPO”']"
 Taberna 474,4.5,464,"Frutos do mar, Mediterrânea",2.5,0,"['“RESTAURANTE MARAVILHOSO.,.....”', '“Excelente!”']"
 Temakeria Paulista,4.5,755,"Japonesa, Sushi",2.5,0,"['“A melhor temakeria”', '“A melhor temakeria de SP”']"
 Bar do Luiz Fernandes,4.5,445,"Brasileira, Bar",2.5,0,"['“E após esperarmos a reabertura”', '“Experiência incrível”']"
 Ohka,4.5,382,Japonesa,4.0,0,"['“Espetacular!”', '“Fantástico”']"
 Sapporo,4.5,420,"Japonesa, Frutos do mar",2.5,0,"['“Recomendo!”', '“Excelente ! Recomendo o Festival!”']"
 Gulab Hari,4.5,1157,Saudável,2.5,0,"['“Incrível”', '“Atendimento delivery fantástico”']"
 Rueiro,4.5,195,"Brasileira, Bar",2.5,0,"['“O melhor lanche de São Paulo”', '“Rueiro”']"
 Tangará Jean-Georges,4.5,551,Contemporânea,4.0,1,"['“Tudo perfeito !”', '“comemoração aniversário”']"
 Osteria Generale,4.5,275,Italiana,2.5,0,"['“Fabuloso...”', '“A melhor Osteria de SP.”']"
 AGELLO CUCINA,4.5,870,Italiana,2.5,0,"['“Comida maravilhosa!!!”', '“Muito boa surpresa!”']"
 Manai Gastronomia,4.5,221,"Brasileira, Sul-americana",2.5,0,"['“Self service TOP”', '“Buffet sempre muito variado”']"
 Ristorantino,4.5,1237,"Italiana, Europeia",4.0,0,"['“Melhor restaurante de SP”', '“Comida e equipe excelentes👏”']"
 Des Cucina,4.5,242,"Italiana, Europeia",2.5,0,"['“Pode melhorar”', '“Comida Deliciosa . Lugar Bonito e...”']"
 Bravo Bistrô,4.5,1214,"Francesa, Europeia",2.5,0,"['“Recomendo!”', '“Ótima experiência e atendimento”']"
 Tanit,4.5,642,"Mediterrânea, Europeia",4.0,0,"['“Excelente, maravilhoso”', '“Melhor espanhol de SP”']"
 Mugui,4.5,241,"Japonesa, Asiática",1.0,0,"['“Um achado na Liberdade”', '“Ótimo restaurante para vir com a família...”']"
 Restaurante Mangai,4.5,192,Brasileira,2.5,0,"['“Experiência Delivery”', '“Experiência maravilhosa”']"
 A Casa do Porco,4.5,4335,"Steakhouse, Brasileira",2.5,1,"['“Menu degustação é o melhor !”', '“Em 3, vale custo-benefício.”']"
 Jullia Pizzaria,4.5,331,"Italiana, Pizza",2.5,0,"['“PIZZA MARAVILHOSA”', '“ENTRE AS MELHORES PIZZARIAS DE SAMPA,.”']"
