Nome,Estrelas,Avaliações,Cozinha,Preço,Segurança,Reviews
 Vila das Meninas,4.5,258,"Brasileira, Contemporânea",2.5,0,"['“Almoço recordação”', '“Experiência maravilhosa!”']"
 Jardineira Grill,4.5,1494,"Japonesa, Steakhouse",4.0,0,"['“Pratos saborosos, atendimento nota 1000”', '“Ótima churrascaria!!!”']"
 Bárbaro,4.5,440,"Steakhouse, Latina",2.5,0,"['“Ótima opção de carnes argentinas.”', '“Carnes e vinhos”']"
 Le Jazz Brasserie,4.5,696,"Francesa, Europeia",2.5,0,"['“Excelente !!”', '“Jantar bom no le jazz! Apenas bom!”']"
 La Ventana Parrilla Porteña,4.5,251,"Steakhouse, Latina",2.5,0,"['“Atendimento de amigos e comida deliciosa...”', '“Muito bom!!”']"
 Teus Restaurante Bar,4.5,322,"Bar, Frutos do mar",2.5,0,"['“Sério, imperdível”', '“Drink e Polvo”']"
 Ráscal Higienópolis,4.5,709,"Italiana, Pizza",2.5,0,"['“Melhor Buffet Mediterrâneo de São Paulo”', '“Simplesmente excepcional!”']"
 Nakka,4.5,588,"Japonesa, Frutos do mar",4.0,0,"['“Comida excelente”', '“Bela opção de japonês em São”']"
 Dona Firmina Pizzaria,4.5,273,"Italiana, Pizza",2.5,0,"['“Pizza em família! Experiência maravilhosa!”', '“Pizza nota 1.000 mil !!!\nFomos”']"
 Tasca da Esquina,4.5,805,"Frutos do mar, Mediterrânea",2.5,1,"['“Excelente!”', '“Atendimento excelente”']"
 Più Restaurante,4.5,677,"Italiana, Europeia",2.5,0,"['“Só melhora com o tempo e se afirma como...”', '“Excelente”']"
 Bráz Pizzaria - Higienópolis,4.5,872,"Italiana, Pizza",2.5,0,"['“Pizzaria maravilhosa”', '“comeria todos os dias se pudesse”']"
 Pizzaria Do Angelo,4.5,331,"Italiana, Pizza",2.5,0,"['“Tradição e qualidade no coração da Mooca”', '“Já foi melhor”']"
 Churrascaria Boi Preto,4.5,411,"Brasileira, Sushi",2.5,0,"['“Uma das melhores churrascarias de São...”', '“NOVOS TEMPOS.”']"
 Dinho's,4.5,577,"Brasileira, Churrasco",4.0,0,"['“Muito bom , mas o mais caro”', '“Boa opção para amantes de carne!”']"
 Maripili,4.5,633,"Mediterrânea, Europeia",2.5,0,"['“Lugar pequeno aconchegante”', '“Propaganda Enganosa”']"
 Pobre Juan - Cidade Jardim,4.5,717,"Steakhouse, Churrasco",4.0,0,"['“Excelência em Atendimento e Restaurante e...”', '“Top 10!!!!”']"
 Momo Lamen House,4.5,477,"Japonesa, Asiática",2.5,0,"['“Ambiente aconchegante e moderno”', '“Maravilhoso!🍜🤤”']"
 Lamen Kazu (LIBERDADE),4.5,976,Japonesa,2.5,0,"['“Simplesmente perfeito. Amei tudo”', '“Melhor Lamen de São Paulo”']"
 Almanara,4.5,1022,"Libanesa, Oriente Médio",2.5,0,"['“Excelência”', '“Não decepciona”']"
 Yamaga Restaurante,4.5,338,"Japonesa, Frutos do mar",2.5,0,"['“Peixes frescos e saborosos”', '“muito bom”']"
 Pueblo Parrilla,5.0,91,"Steakhouse, Argentina",2.5,0,"['“Carne saborosa e atendimento exemplar”', '“Carne espetacular,ótimo atendimento...”']"
 Farabbud Moema,4.5,441,"Turca, Árabe",2.5,0,"['“Vale a pena conhecer!”', '“bem fraco”']"
 Maní Manioca,4.5,2242,"Brasileira, Contemporânea",4.0,0,"['“Estive no Mani para um almoço”', '“Polvo bem gostoso”']"
 Pizzaria Speranza,4.5,674,Pizza,2.5,0,"['“Excelente experiência”', '“Delivery”']"
 Casa Europa,4.5,303,"Italiana, Mediterrânea",2.5,0,"['“Massa deliciosa !”', '“Lugar perfeito!\nÓtima comida,”']"
 Lia Giorno,4.5,155,"Brasileira, Internacional",2.5,0,"['“Experiência única”', '“Lembro da primeira vez que”']"
 Santinho Tomie Ohtake,4.5,304,Brasileira,2.5,0,"['“Atendimento deixa a desejar”', '“Almoço dia 28/02/2020”']"
 Pipo Restaurante,4.5,287,Brasileira,4.0,0,"['“Dia das mães”', '“Excelente”']"
 Corrientes 348,4.5,806,"Steakhouse, Latina",4.0,0,"['“Outra percepção de carne!”', '“Carnes ótimas”']"
 Tantra Tatuapé Mongolian Grill,4.5,849,"Asiática, Oriente Médio",2.5,0,"['“OUT OF BUSINESS”', '“Falta de informação..”']"
 Il Ristorante Cucina & Musica - Walter Mancini,4.5,839,Italiana,4.0,0,"['“Experiência agradável”', '“Um espetaculo”']"
 Rinconcito Peruano,4.5,1568,Peruana,1.0,0,"['“Bom”', '“Atendentes educados, serviço”']"
 Tan Tan Noodle Bar,4.5,304,"Japonesa, Bar",2.5,0,"['“Ambiente e comida gostosa”', '“Delivery de lamen”']"
 Due Cuochi Cucina - Shopping Cidade Jardim,4.5,1131,"Italiana, Mediterrânea",4.0,0,"['“Almoço maravilhoso.”', '“O restaurante mais perfeito”']"
 Le Jazz Brasserie,4.5,1060,"Francesa, Europeia",2.5,0,"['“Para lembrar de Paris. Adoro”', '“Clássico francês.”']"
 Arimbá Restaurante,4.5,249,Brasileira,2.5,1,"['“Sempre muito bom ir ao Arimbá.”', '“Muito bom!!!”']"
 FrangÓ,4.5,1023,"Brasileira, Bar",2.5,1,"['“Melhor experiência da Freguesia”', '“Cerveja e Frango”']"
 Pizzaria Veridiana Perdizes,4.5,299,"Italiana, Pizza",2.5,0,"['“🍕Pizzaria Romântica 🍕”', '“Melhor pizzaria de SP”']"
 Gero,4.5,938,"Italiana, Europeia",4.0,1,"['“Excelência desde de sempre”', '“Excelente como sempre, mesmo”']"
 Carlos Pizza,4.5,402,Pizza,2.5,0,"['“Pizza de altíssima qualidade”', '“excelente”']"
 Paulista Burger,4.5,402,"Americana, Lanchonete",2.5,0,"['“Excelente”', '“Atendimento Vip”']"
 Torta no Quintal,4.5,263,Brasileira,2.5,0,"['“Melhor torta de SP”', '“Adoro o torta. Vale a pena.”']"
 Aragon Espirito Iberico,4.5,652,"Mediterrânea, Europeia",2.5,0,"['“Boa relação custo benefício”', '“Boa opção de mediterrâneo”']"
 Daiki Sushi,4.5,168,"Japonesa, Frutos do mar",2.5,0,"['“Comida japonesa maravilhosa!!”', '“Amor a primeira visita”']"
 Effendi,4.5,142,"Libanesa, Oriente Médio",2.5,0,"['“Muito bom”', '“Vale a visita”']"
 Bar Balcão,4.5,176,Bar,2.5,0,"['“Happy Hour”', '“Adoro o balcão !”']"
 Barbacoa Morumbi Shopping,4.5,665,"Steakhouse, Brasileira",4.0,0,"['“Sempre a melhor !”', '“Muito BOM”']"
 NB Steak Faria Lima,4.5,330,"Steakhouse, Brasileira",4.0,0,"['“Excepcional”', '“Satisfeita”']"
 Ícone Gastrorock,5.0,103,"Contemporânea, Fusion",2.5,0,"['“Surpresa delícia!”', '“A experiência surpreendeu!”']"
 Italy,4.5,873,"Israelense, Italiana",2.5,0,"['“Um lugar bacana, legal para”', '“Itália em São Paulo: sempre uma surpresa”']"
 Z Deli,4.5,361,"Americana, Internacional",2.5,0,"['“Z Deli continua o N1 de SP ?”', '“Sempre um show de sabor”']"
 Ráscal Itaim,4.5,466,"Italiana, Mediterrânea",2.5,0,"['“Sempre muito bom!!”', '“Boa opção de buffet com preço fixo”']"
 Insalata,4.5,1306,"Italiana, Brasileira",2.5,0,"['“Excelente!”', '“Excelente atendimento, vinho,”']"
 La Tartine Bistrot,4.5,422,"Francesa, Europeia",2.5,0,"['“Excelente! Rigor com os protocolos de...”', '“O mais parisiense cantinho de SP e um dos...”']"
 Cantina Gigio,4.5,516,Italiana,2.5,0,"['“Boa cantina”', '“Local agradável com excelente comida.”']"
 Big Kauna Burger,4.5,1107,"Americana, Fast food",2.5,0,"['“Muito bom”', '“Sensacional!”']"
 Consulado da Bahia,4.5,558,"Brasileira, Frutos do mar",2.5,0,"['“Comida baiana da boa!”', '“Simplesmente maravilhoso !”']"
 Restaurante Micaela,4.5,292,Brasileira,2.5,0,"['“Que delícia de culinária!”', '“Ótimo”']"
 Bawarchi,4.5,269,Indiana,2.5,0,"['“Melhor comida indiana”', '“A comida é muito boa! Estava”']"
 Bovinus Churrascaria,4.5,570,"Steakhouse, Brasileira",2.5,0,"['“extremamente satisfeita”', '“Preço bom e atendimento”']"
 Leona Pizza Bar,4.5,514,"Italiana, Pizza",2.5,0,"['“Pizza Tradicional em Ambiente diferenciado”', '“Comemorar aniversário”']"
 Museo Veronica,4.5,405,"Mediterrânea, Europeia",2.5,0,"['“Ótimo custo benefício!”', '“O garçom esqueceu da entrada”']"
 Windhuk,4.5,394,"Alemã, Europeia",2.5,0,"['“Comida alemã”', '“Local pitoresco e agradável”']"
 La Frontera,4.5,261,Argentina,2.5,0,"['“Pedido pelo Ifood que Não CHEGOU”', '“Não honraram reserva de uma mesa com...”']"
 Almanara,4.5,373,"Libanesa, Oriente Médio",2.5,0,"['“Opção de rodízio”', '“Delivery prato errado”']"
 Jardim di Napoli,4.5,1229,Italiana,2.5,0,"['“Que restaurante!!!!”', '“Polpetone dos deuses”']"
